;lemmas;df_2010;df_2011;df_2012;df_2013;df_2014;df_2015;df_2016;df_2017;df_2018;df_2019;df_2020;total;min;std;mean;max
6775;unjustifiably;0;0;0;0;2;0;0;0;0;0;0;2;0;0.6;0.18;2
6776;caretaker;0;0;2;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
6777;permissive;0;0;0;0;2;0;0;0;0;0;0;2;0;0.6;0.18;2
6778;wall;0;0;0;1;0;0;0;0;0;1;0;2;0;0.4;0.18;1
6779;upshot;0;0;0;0;1;0;0;0;1;0;0;2;0;0.4;0.18;1
6780;unanticipated;0;1;0;1;0;0;0;0;0;0;0;2;0;0.4;0.18;1
6781;neohepatic;0;2;0;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
6782;xenotransplantion;0;0;2;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
6783;199;0;0;0;0;1;0;0;1;0;0;0;2;0;0.4;0.18;1
6784;cisatracurium;0;1;1;0;0;0;0;0;0;0;0;2;0;0.4;0.18;1
6785;p=0.02;0;0;0;0;1;0;1;0;0;0;0;2;0;0.4;0.18;1
6786;divisiveness;0;1;1;0;0;0;0;0;0;0;0;2;0;0.4;0.18;1
6787;haemopoietic;0;2;0;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
6788;176;0;0;0;0;2;0;0;0;0;0;0;2;0;0.6;0.18;2
6789;124;1;1;0;0;0;0;0;0;0;0;0;2;0;0.4;0.18;1
6790;threefold;0;2;0;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
6791;cigarette;1;0;0;0;0;0;1;0;0;0;0;2;0;0.4;0.18;1
6792;mtor;0;0;0;1;0;0;0;0;1;0;0;2;0;0.4;0.18;1
6793;less;0;0;1;0;0;0;0;0;1;0;0;2;0;0.4;0.18;1
6794;remifentanil;0;1;1;0;0;0;0;0;0;0;0;2;0;0.4;0.18;1
6795;53-year;0;0;0;1;0;1;0;0;0;0;0;2;0;0.4;0.18;1
6796;beneficent;0;0;1;0;0;0;0;0;0;1;0;2;0;0.4;0.18;1
6797;catheter;0;1;0;0;0;0;0;0;0;0;1;2;0;0.4;0.18;1
6798;allied;0;0;0;0;1;0;0;0;0;1;0;2;0;0.4;0.18;1
6799;.006;0;0;0;0;1;0;0;0;0;0;1;2;0;0.4;0.18;1
6800;mpap;0;2;0;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
6801;uneven;0;1;0;0;0;0;0;1;0;0;0;2;0;0.4;0.18;1
6802;etco(2;0;2;0;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
6803;cultivate;0;0;1;0;0;0;0;1;0;0;0;2;0;0.4;0.18;1
6804;201;0;0;0;1;0;0;0;1;0;0;0;2;0;0.4;0.18;1
6805;210;0;0;0;0;1;1;0;0;0;0;0;2;0;0.4;0.18;1
6806;commercially;0;1;0;1;0;0;0;0;0;0;0;2;0;0.4;0.18;1
6807;medicolegal;0;1;0;0;0;0;0;0;0;1;0;2;0;0.4;0.18;1
6808;transection;0;0;0;1;0;0;0;1;0;0;0;2;0;0.4;0.18;1
6809;rightholder;0;0;2;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
6810;174;0;0;0;1;0;0;0;0;1;0;0;2;0;0.4;0.18;1
6811;cautionary;1;0;0;0;0;0;0;0;0;1;0;2;0;0.4;0.18;1
6812;evenly;2;0;0;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
6813;sufferer;0;0;0;1;0;0;0;1;0;0;0;2;0;0.4;0.18;1
6814;54.7;0;0;0;1;0;0;0;1;0;0;0;2;0;0.4;0.18;1
6815;politically;0;0;0;1;0;0;0;0;1;0;0;2;0;0.4;0.18;1
6816;1980s;0;0;0;1;0;0;0;0;0;0;1;2;0;0.4;0.18;1
6817;alternating;1;0;0;0;1;0;0;0;0;0;0;2;0;0.4;0.18;1
6818;upgrade;0;1;0;0;1;0;0;0;0;0;0;2;0;0.4;0.18;1
6819;47.5;0;1;0;0;0;0;0;0;0;1;0;2;0;0.4;0.18;1
6820;tertile;0;2;0;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
6821;standardise;0;1;0;0;0;0;1;0;0;0;0;2;0;0.4;0.18;1
6822;5.2;0;0;0;1;0;0;0;0;0;1;0;2;0;0.4;0.18;1
6823;nonadherent;0;0;1;1;0;0;0;0;0;0;0;2;0;0.4;0.18;1
6824;incarceration;0;0;0;2;0;0;0;0;0;0;0;2;0;0.6;0.18;2
6825;ethicality;0;2;0;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
6826;oh;0;0;1;0;0;0;0;0;1;0;0;2;0;0.4;0.18;1
6827;102;0;0;0;1;0;0;0;0;0;1;0;2;0;0.4;0.18;1
6828;psychiatrist;0;0;0;1;0;0;1;0;0;0;0;2;0;0.4;0.18;1
6829;cytometry;0;1;0;0;0;0;0;1;0;0;0;2;0;0.4;0.18;1
6830;judiciary;0;0;0;1;0;0;1;0;0;0;0;2;0;0.4;0.18;1
6831;senior;0;0;0;1;0;0;1;0;0;0;0;2;0;0.4;0.18;1
6832;journalist;0;0;0;1;0;0;1;0;0;0;0;2;0;0.4;0.18;1
6833;conjugate;0;0;0;1;0;0;0;1;0;0;0;2;0;0.4;0.18;1
6834;manitoba;0;0;0;1;0;0;0;0;0;1;0;2;0;0.4;0.18;1
6835;underpinning;0;0;0;0;1;0;0;0;1;0;0;2;0;0.4;0.18;1
6836;humanitarian;1;0;0;0;0;0;1;0;0;0;0;2;0;0.4;0.18;1
6837;bearing;0;0;0;1;0;0;0;0;1;0;0;2;0;0.4;0.18;1
6838;symbolism;0;1;0;0;0;0;0;0;0;0;1;2;0;0.4;0.18;1
6839;repudiate;0;0;0;1;1;0;0;0;0;0;0;2;0;0.4;0.18;1
6840;centric;0;0;0;0;1;0;0;0;1;0;0;2;0;0.4;0.18;1
6841;41.4;0;1;0;0;0;0;0;0;0;1;0;2;0;0.4;0.18;1
6842;umol;0;0;0;2;0;0;0;0;0;0;0;2;0;0.6;0.18;2
6843;120;0;1;0;0;0;0;0;0;0;1;0;2;0;0.4;0.18;1
6844;juristic;0;0;0;0;2;0;0;0;0;0;0;2;0;0.6;0.18;2
6845;pathogen;0;0;2;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
6846;oic;0;0;0;2;0;0;0;0;0;0;0;2;0;0.6;0.18;2
6847;intentionally;0;0;0;1;0;0;0;0;1;0;0;2;0;0.4;0.18;1
6848;quebec;0;0;0;1;0;0;0;1;0;0;0;2;0;0.4;0.18;1
6849;soundness;0;0;0;1;0;0;0;0;1;0;0;2;0;0.4;0.18;1
6850;comatose;1;0;0;0;0;0;0;0;1;0;0;2;0;0.4;0.18;1
6851;0.69;0;1;0;0;0;0;0;0;1;0;0;2;0;0.4;0.18;1
6852;plea;1;0;0;0;0;1;0;0;0;0;0;2;0;0.4;0.18;1
6853;corticosteroid;0;0;0;1;0;0;1;0;0;0;0;2;0;0.4;0.18;1
6854;proportionally;0;0;2;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
6855;1.49;0;1;0;0;0;0;0;0;1;0;0;2;0;0.4;0.18;1
6856;fly;0;0;1;0;0;0;0;0;1;0;0;2;0;0.4;0.18;1
6857;hypoxic;0;0;0;1;0;0;0;0;0;0;1;2;0;0.4;0.18;1
6858;advisable;0;0;0;1;0;0;0;1;0;0;0;2;0;0.4;0.18;1
6859;buyer;0;0;1;0;1;0;0;0;0;0;0;2;0;0.4;0.18;1
6860;wealthy;0;0;1;0;1;0;0;0;0;0;0;2;0;0.4;0.18;1
6861;inversely;0;1;0;0;0;0;1;0;0;0;0;2;0;0.4;0.18;1
6862;manipulative;0;0;0;0;2;0;0;0;0;0;0;2;0;0.6;0.18;2
6863;gatekeeper;0;0;0;1;0;0;0;0;0;1;0;2;0;0.4;0.18;1
6864;exponentially;1;0;0;0;0;0;0;0;1;0;0;2;0;0.4;0.18;1
6865;placental;0;1;0;1;0;0;0;0;0;0;0;2;0;0.4;0.18;1
6866;1904;0;0;2;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
6867;coated;0;0;0;2;0;0;0;0;0;0;0;2;0;0.6;0.18;2
6868;writing;0;0;1;0;1;0;0;0;0;0;0;2;0;0.4;0.18;1
6869;seminal;0;0;1;0;0;0;1;0;0;0;0;2;0;0.4;0.18;1
6870;16.7;0;0;1;0;0;0;1;0;0;0;0;2;0;0.4;0.18;1
6871;legacy;0;0;1;0;0;0;0;0;0;0;1;2;0;0.4;0.18;1
6872;anisotropy;0;0;0;1;0;0;1;0;0;0;0;2;0;0.4;0.18;1
6873;script;0;0;2;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
6874;heal;0;1;0;0;0;0;0;0;0;0;1;2;0;0.4;0.18;1
6875;salutary;0;0;1;0;0;0;0;0;0;0;1;2;0;0.4;0.18;1
6876;explicate;0;0;1;0;0;0;0;0;0;1;0;2;0;0.4;0.18;1
6877;codify;0;0;1;0;0;0;0;0;1;0;0;2;0;0.4;0.18;1
6878;equip;0;0;0;0;1;0;1;0;0;0;0;2;0;0.4;0.18;1
6879;offence;0;0;0;1;0;1;0;0;0;0;0;2;0;0.4;0.18;1
6880;gradual;0;0;1;0;0;1;0;0;0;0;0;2;0;0.4;0.18;1
6881;emergent;0;0;1;0;0;1;0;0;0;0;0;2;0;0.4;0.18;1
6882;p=0.0001;0;1;1;0;0;0;0;0;0;0;0;2;0;0.4;0.18;1
6883;n=179;0;0;1;0;0;0;0;0;1;0;0;2;0;0.4;0.18;1
6884;msc;0;1;0;0;0;0;0;0;0;0;1;2;0;0.4;0.18;1
6885;interdependence;0;1;0;0;0;0;0;0;1;0;0;2;0;0.4;0.18;1
6886;height;0;1;0;0;0;0;0;0;0;0;1;2;0;0.4;0.18;1
6887;cardioverter;0;0;2;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
6888;aetiology;0;1;0;0;0;0;0;0;0;0;1;2;0;0.4;0.18;1
6889;utmost;0;0;1;0;1;0;0;0;0;0;0;2;0;0.4;0.18;1
6890;unjustifiable;1;0;0;0;0;0;0;0;0;1;0;2;0;0.4;0.18;1
6891;crossroad;0;0;1;0;0;0;0;0;1;0;0;2;0;0.4;0.18;1
6892;0.43;0;0;0;1;0;0;0;0;1;0;0;2;0;0.4;0.18;1
6893;multidrug;0;1;0;0;0;0;1;0;0;0;0;2;0;0.4;0.18;1
6894;consequential;1;0;0;0;0;0;0;0;0;1;0;2;0;0.4;0.18;1
6895;0.29;0;0;0;1;0;0;0;0;0;1;0;2;0;0.4;0.18;1
6896;2025;0;0;0;1;0;0;1;0;0;0;0;2;0;0.4;0.18;1
6897;antemortem;0;0;1;0;0;0;0;1;0;0;0;2;0;0.4;0.18;1
6898;psychosocially;0;1;0;0;1;0;0;0;0;0;0;2;0;0.4;0.18;1
6899;66.8;0;0;0;0;1;1;0;0;0;0;0;2;0;0.4;0.18;1
6900;91.1;0;0;1;0;0;0;0;0;0;0;1;2;0;0.4;0.18;1
6901;416;0;1;0;0;0;0;0;0;0;1;0;2;0;0.4;0.18;1
6902;17.5;0;1;0;0;1;0;0;0;0;0;0;2;0;0.4;0.18;1
6903;veracity;1;0;0;0;0;0;1;0;0;0;0;2;0;0.4;0.18;1
6904;traction;0;1;0;0;0;0;0;0;0;1;0;2;0;0.4;0.18;1
6905;0.27;0;0;0;1;0;0;0;0;0;1;0;2;0;0.4;0.18;1
6906;invasion;0;1;0;0;0;0;0;1;0;0;0;2;0;0.4;0.18;1
6907;digit;0;0;0;1;0;0;1;0;0;0;0;2;0;0.4;0.18;1
6908;706;0;0;0;1;0;0;1;0;0;0;0;2;0;0.4;0.18;1
6909;nodule;0;2;0;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
6910;track;0;1;0;0;0;0;0;0;1;0;0;2;0;0.4;0.18;1
6911;immense;0;0;1;0;0;0;0;0;0;1;0;2;0;0.4;0.18;1
6912;defibrillator;0;0;2;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
6913;375;0;0;1;0;0;0;0;0;1;0;0;2;0;0.4;0.18;1
6914;intertwine;0;0;1;0;1;0;0;0;0;0;0;2;0;0.4;0.18;1
6915;neurodegenerative;0;1;0;0;0;0;0;0;1;0;0;2;0;0.4;0.18;1
6916;globulin;0;1;0;0;0;0;0;1;0;0;0;2;0;0.4;0.18;1
6917;antithymocyte;0;1;0;0;0;0;0;1;0;0;0;2;0;0.4;0.18;1
6918;histocompatibility;1;1;0;0;0;0;0;0;0;0;0;2;0;0.4;0.18;1
6919;contexts;0;0;1;0;0;0;0;1;0;0;0;2;0;0.4;0.18;1
6920;nonsmoker;1;0;1;0;0;0;0;0;0;0;0;2;0;0.4;0.18;1
6921;222;0;1;0;0;0;0;0;0;1;0;0;2;0;0.4;0.18;1
6922;231;0;0;0;0;1;0;0;0;1;0;0;2;0;0.4;0.18;1
6923;annexin;0;2;0;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
6924;reassess;0;1;0;0;0;0;0;0;0;1;0;2;0;0.4;0.18;1
6925;consecutively;0;1;0;0;0;0;0;1;0;0;0;2;0;0.4;0.18;1
6926;lobby;1;0;0;1;0;0;0;0;0;0;0;2;0;0.4;0.18;1
6927;english-;0;0;0;0;1;0;1;0;0;0;0;2;0;0.4;0.18;1
6928;bangladesh;0;0;2;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
6929;nonsurgical;0;0;0;1;0;0;0;0;1;0;0;2;0;0.4;0.18;1
6930;bazaar;0;0;2;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
6931;246;0;1;0;0;0;0;1;0;0;0;0;2;0;0.4;0.18;1
6932;dosing;1;0;0;0;1;0;0;0;0;0;0;2;0;0.4;0.18;1
6933;lrdkt;2;0;0;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
6934;quit;1;1;0;0;0;0;0;0;0;0;0;2;0;0.4;0.18;1
6935;6th;0;0;0;0;1;0;1;0;0;0;0;2;0;0.4;0.18;1
6936;plethora;0;0;0;1;0;0;0;0;1;0;0;2;0;0.4;0.18;1
6937;r.;0;2;0;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
6938;string;0;1;1;0;0;0;0;0;0;0;0;2;0;0.4;0.18;1
6939;regain;0;0;1;1;0;0;0;0;0;0;0;2;0;0.4;0.18;1
6940;gratuity;0;2;0;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
6941;balancing;1;0;0;0;0;0;1;0;0;0;0;2;0;0.4;0.18;1
6942;dynamically;1;0;0;1;0;0;0;0;0;0;0;2;0;0.4;0.18;1
6943;handling;0;1;0;0;0;1;0;0;0;0;0;2;0;0.4;0.18;1
6944;anesthesiology;0;0;1;0;0;0;0;0;0;0;1;2;0;0.4;0.18;1
6945;compression;0;0;0;0;1;0;0;0;0;1;0;2;0;0.4;0.18;1
6946;coronal;0;0;0;1;0;1;0;0;0;0;0;2;0;0.4;0.18;1
6947;donorship;2;0;0;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
6948;p=0.05;0;2;0;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
6949;assert;0;0;0;0;1;0;0;0;0;1;0;2;0;0.4;0.18;1
6950;hungarian;0;1;1;0;0;0;0;0;0;0;0;2;0;0.4;0.18;1
6951;p.;0;1;0;0;1;0;0;0;0;0;0;2;0;0.4;0.18;1
6952;nov;0;1;0;0;0;0;0;0;0;0;1;2;0;0.4;0.18;1
6953;deserving;0;0;1;0;0;0;0;0;1;0;0;2;0;0.4;0.18;1
6954;contentious;0;0;1;1;0;0;0;0;0;0;0;2;0;0.4;0.18;1
6955;imager;0;0;0;1;0;0;1;0;0;0;0;2;0;0.4;0.18;1
6956;3.1;0;0;0;1;0;0;0;0;0;1;0;2;0;0.4;0.18;1
6957;3-t;0;0;0;1;0;0;1;0;0;0;0;2;0;0.4;0.18;1
6958;nonprofit;0;1;0;0;0;0;1;0;0;0;0;2;0;0.4;0.18;1
6959;dyad;0;1;0;0;0;0;0;0;1;0;0;2;0;0.4;0.18;1
6960;disastrous;0;0;0;0;1;0;1;0;0;0;0;2;0;0.4;0.18;1
6961;hypnotic;2;0;0;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
6962;workload;0;1;0;0;0;0;0;0;1;0;0;2;0;0.4;0.18;1
6963;14.9;0;0;1;0;1;0;0;0;0;0;0;2;0;0.4;0.18;1
6964;suspicious;0;0;0;1;0;0;0;0;1;0;0;2;0;0.4;0.18;1
6965;defence;0;0;0;0;1;0;1;0;0;0;0;2;0;0.4;0.18;1
6966;46-item;2;0;0;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
6967;55.6;0;1;0;0;0;0;0;0;1;0;0;2;0;0.4;0.18;1
6968;reflective;1;0;0;0;1;0;0;0;0;0;0;2;0;0.4;0.18;1
6969;negotiation;1;0;0;0;1;0;0;0;0;0;0;2;0;0.4;0.18;1
6970;scrofa;0;0;0;1;0;0;0;0;0;1;0;2;0;0.4;0.18;1
6971;fudan;0;0;0;1;1;0;0;0;0;0;0;2;0;0.4;0.18;1
6972;dilated;0;1;0;0;1;0;0;0;0;0;0;2;0;0.4;0.18;1
6973;56.6;0;1;0;1;0;0;0;0;0;0;0;2;0;0.4;0.18;1
6974;invitation;0;1;0;0;0;1;0;0;0;0;0;2;0;0.4;0.18;1
6975;imaginary;0;0;1;0;0;0;0;0;0;0;1;2;0;0.4;0.18;1
6976;generalized;0;0;2;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
6977;18.3;0;1;0;0;0;0;1;0;0;0;0;2;0;0.4;0.18;1
6978;10.1;0;1;0;1;0;0;0;0;0;0;0;2;0;0.4;0.18;1
6979;misdiagnosis;0;0;0;2;0;0;0;0;0;0;0;2;0;0.6;0.18;2
6980;worthwhile;0;0;1;0;0;0;0;0;1;0;0;2;0;0.4;0.18;1
6981;golden;0;0;2;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
6982;pharmacological;0;1;0;0;0;0;0;1;0;0;0;2;0;0.4;0.18;1
6983;wean;0;1;0;0;0;0;0;0;0;1;0;2;0;0.4;0.18;1
6984;jun;0;0;0;2;0;0;0;0;0;0;0;2;0;0.6;0.18;2
6985;331;0;1;1;0;0;0;0;0;0;0;0;2;0;0.4;0.18;1
6986;remarkably;0;0;0;1;1;0;0;0;0;0;0;2;0;0.4;0.18;1
6987;clash;0;0;0;2;0;0;0;0;0;0;0;2;0;0.6;0.18;2
6988;4.5;0;1;0;1;0;0;0;0;0;0;0;2;0;0.4;0.18;1
6989;fuel;0;0;1;0;0;1;0;0;0;0;0;2;0;0.4;0.18;1
6990;opposite;0;0;0;1;0;0;0;0;1;0;0;2;0;0.4;0.18;1
6991;evaluative;0;0;1;0;0;0;1;0;0;0;0;2;0;0.4;0.18;1
6992;variably;0;0;1;0;0;0;0;0;0;0;1;2;0;0.4;0.18;1
6993;tnf)-alpha;0;0;0;1;1;0;0;0;0;0;0;2;0;0.4;0.18;1
6994;nonlifesaving;0;1;0;0;0;0;0;1;0;0;0;2;0;0.4;0.18;1
6995;religio;0;0;0;2;0;0;0;0;0;0;0;2;0;0.6;0.18;2
6996;j;1;0;1;0;0;0;0;0;0;0;0;2;0;0.4;0.18;1
6997;cd4;0;0;0;1;0;0;0;1;0;0;0;2;0;0.4;0.18;1
6998;interventional;0;0;1;0;0;0;0;0;0;0;1;2;0;0.4;0.18;1
6999;unparalleled;1;0;0;1;0;0;0;0;0;0;0;2;0;0.4;0.18;1
7000;heterogeneous;0;0;0;1;0;0;0;1;0;0;0;2;0;0.4;0.18;1
7001;situational;2;0;0;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
7002;humane;1;0;0;0;0;0;1;0;0;0;0;2;0;0.4;0.18;1
7003;laden;1;0;0;1;0;0;0;0;0;0;0;2;0;0.4;0.18;1
7004;imbalanced;0;0;2;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
7005;accreditation;1;0;0;0;0;0;1;0;0;0;0;2;0;0.4;0.18;1
7006;delicate;0;1;0;0;0;0;0;0;1;0;0;2;0;0.4;0.18;1
7007;acutely;0;1;0;0;0;0;0;0;0;0;1;2;0;0.4;0.18;1
7008;color;0;1;0;0;0;0;0;1;0;0;0;2;0;0.4;0.18;1
7009;insufficiently;0;0;0;1;0;0;0;0;0;0;1;2;0;0.4;0.18;1
7010;nonrelated;0;0;1;0;1;0;0;0;0;0;0;2;0;0.4;0.18;1
7011;predefine;0;1;0;0;0;0;0;0;1;0;0;2;0;0.4;0.18;1
7012;pluralistic;0;0;1;0;0;0;0;0;0;1;0;2;0;0.4;0.18;1
7013;ligation;0;0;0;1;0;0;0;0;0;1;0;2;0;0.4;0.18;1
7014;cutoff;0;0;1;0;0;0;0;0;1;0;0;2;0;0.4;0.18;1
7015;elaboration;0;0;1;0;1;0;0;0;0;0;0;2;0;0.4;0.18;1
7016;fleeting;0;0;0;1;0;0;0;0;0;1;0;2;0;0.4;0.18;1
7017;84.6;0;0;1;0;0;0;0;0;0;0;1;2;0;0.4;0.18;1
7018;unintentional;0;0;1;0;0;0;0;0;0;1;0;2;0;0.4;0.18;1
7019;transitioning;0;2;0;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
7020;substantiate;0;0;1;0;0;1;0;0;0;0;0;2;0;0.4;0.18;1
7021;disharmony;0;0;1;0;0;0;0;1;0;0;0;2;0;0.4;0.18;1
7022;sclerosing;0;0;1;0;0;0;0;1;0;0;0;2;0;0.4;0.18;1
7023;commerce;1;1;0;0;0;0;0;0;0;0;0;2;0;0.4;0.18;1
7024;expressly;1;0;0;1;0;0;0;0;0;0;0;2;0;0.4;0.18;1
7025;sequelae;0;1;0;0;0;0;0;0;0;1;0;2;0;0.4;0.18;1
7026;impressive;0;0;0;1;0;0;0;0;0;0;1;2;0;0.4;0.18;1
7027;296;0;1;0;0;1;0;0;0;0;0;0;2;0;0.4;0.18;1
7028;margin;0;0;0;1;0;0;0;1;0;0;0;2;0;0.4;0.18;1
7029;52.6;0;1;0;0;0;0;0;0;1;0;0;2;0;0.4;0.18;1
7030;8.4;0;2;0;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
7031;directed;1;0;0;1;0;0;0;0;0;0;0;2;0;0.4;0.18;1
7032;favorably;0;0;0;1;0;1;0;0;0;0;0;2;0;0.4;0.18;1
7033;36.2;0;1;0;0;0;0;0;0;0;1;0;2;0;0.4;0.18;1
7034;shove;0;0;2;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
7035;18.4;0;1;0;0;0;0;0;0;0;0;1;2;0;0.4;0.18;1
7036;interpretative;0;1;0;0;0;0;0;0;0;0;1;2;0;0.4;0.18;1
7037;latvia;0;0;0;2;0;0;0;0;0;0;0;2;0;0.6;0.18;2
7038;contradict;0;1;0;0;0;0;0;0;1;0;0;2;0;0.4;0.18;1
7039;lived;0;1;0;0;0;0;0;0;0;1;0;2;0;0.4;0.18;1
7040;legalized;1;0;0;0;0;0;0;0;0;1;0;2;0;0.4;0.18;1
7041;detrimental;0;0;1;0;0;0;0;0;0;1;0;2;0;0.4;0.18;1
7042;0.819;0;0;0;1;0;0;0;0;1;0;0;2;0;0.4;0.18;1
7043;daughter;0;0;2;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
7044;pathogenesis;0;0;0;1;1;0;0;0;0;0;0;2;0;0.4;0.18;1
7045;overriding;0;0;1;0;0;0;0;0;1;0;0;2;0;0.4;0.18;1
7046;maximization;0;1;0;0;1;0;0;0;0;0;0;2;0;0.4;0.18;1
7047;tomographic;0;0;0;1;0;1;0;0;0;0;0;2;0;0.4;0.18;1
7048;mainland;0;0;1;0;0;0;0;0;0;1;0;2;0;0.4;0.18;1
7049;devastate;0;0;2;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
7050;custom;0;0;1;0;0;0;0;0;0;0;1;2;0;0.4;0.18;1
7051;responder;0;1;0;0;0;0;0;0;0;0;1;2;0;0.4;0.18;1
7052;ureteral;1;1;0;0;0;0;0;0;0;0;0;2;0;0.4;0.18;1
7053;138;0;0;0;1;0;0;0;0;1;0;0;2;0;0.4;0.18;1
7054;essence;0;0;1;0;0;0;0;0;0;1;0;2;0;0.4;0.18;1
7055;meticulous;0;0;1;0;0;0;0;0;0;0;1;2;0;0.4;0.18;1
7056;reversible;0;0;1;1;0;0;0;0;0;0;0;2;0;0.4;0.18;1
7057;allowable;0;0;1;0;1;0;0;0;0;0;0;2;0;0.4;0.18;1
7058;78.7;0;1;0;0;0;0;0;1;0;0;0;2;0;0.4;0.18;1
7059;opportunistic;0;0;1;0;0;0;0;0;0;0;1;2;0;0.4;0.18;1
7060;79.5;0;1;0;0;0;0;0;1;0;0;0;2;0;0.4;0.18;1
7061;prepared;0;1;0;0;0;0;0;0;0;1;0;2;0;0.4;0.18;1
7062;15.3;0;1;1;0;0;0;0;0;0;0;0;2;0;0.4;0.18;1
7063;130;0;0;0;1;0;0;0;0;0;0;1;2;0;0.4;0.18;1
7064;stewardship;0;0;1;0;0;0;0;0;0;1;0;2;0;0.4;0.18;1
7065;leak;0;0;2;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
7066;malperfusion;0;2;0;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
7067;transmit;1;0;0;0;0;0;1;0;0;0;0;2;0;0.4;0.18;1
7068;scripted;0;0;2;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
7069;undertaking;0;0;0;1;0;0;1;0;0;0;0;2;0;0.4;0.18;1
7070;zip;0;0;1;0;0;0;0;0;1;0;0;2;0;0.4;0.18;1
7071;toxicity;0;0;0;1;0;0;0;0;0;0;1;2;0;0.4;0.18;1
7072;embodied;0;1;0;0;0;0;1;0;0;0;0;2;0;0.4;0.18;1
7073;thoa;0;2;0;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
7074;resistive;0;2;0;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
7075;glomerulopathy;0;1;0;0;0;0;0;0;0;0;1;2;0;0.4;0.18;1
7076;da;0;0;1;0;0;0;0;0;1;0;0;2;0;0.4;0.18;1
7077;neurotoxicity;0;0;1;0;0;0;0;0;0;0;1;2;0;0.4;0.18;1
7078;enforce;0;1;0;0;0;0;0;0;0;1;0;2;0;0.4;0.18;1
7079;pulsatility;0;2;0;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
7080;cinahl;0;0;0;1;1;0;0;0;0;0;0;2;0;0.4;0.18;1
7081;preemptively;1;1;0;0;0;0;0;0;0;0;0;2;0;0.4;0.18;1
7082;heat;0;0;0;1;0;0;0;0;0;1;0;2;0;0.4;0.18;1
7083;decellularize;0;0;0;1;0;0;0;0;1;0;0;2;0;0.4;0.18;1
7084;hfhc;0;0;2;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
7085;1.00;1;0;0;0;0;0;0;0;0;0;1;2;0;0.4;0.18;1
7086;ep;0;0;0;2;0;0;0;0;0;0;0;2;0;0.6;0.18;2
7087;multiplicity;0;0;1;0;0;0;0;0;0;1;0;2;0;0.4;0.18;1
7088;unabate;0;0;0;1;1;0;0;0;0;0;0;2;0;0.4;0.18;1
7089;nonrefractory;0;2;0;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
7090;proximity;1;0;0;0;0;0;0;1;0;0;0;2;0;0.4;0.18;1
7091;offset;0;0;0;1;1;0;0;0;0;0;0;2;0;0.4;0.18;1
7092;stride;0;0;1;0;0;0;0;1;0;0;0;2;0;0.4;0.18;1
7093;controlled;1;0;0;0;1;0;0;0;0;0;0;2;0;0.4;0.18;1
7094;communally;0;1;1;0;0;0;0;0;0;0;0;2;0;0.4;0.18;1
7095;342;1;0;0;0;0;0;0;0;1;0;0;2;0;0.4;0.18;1
