;meshterms;df_2010;df_2011;df_2012;df_2013;df_2014;df_2015;df_2016;df_2017;df_2018;df_2019;df_2020;total;min;std;mean;max
637;smoking prevention;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
638;patient discharge;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
639;pediatricians;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
640;hospital administrators;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
641;organizations;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
642;gastroenterologists;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
643;capacity building;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
644;allied health personnel;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
645;academic medical centers;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
646;standard of care;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
647;preimplantation diagnosis;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
648;maternal age;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
649;monte carlo method;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
650;whole genome sequencing;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
651;family health;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
652;exome;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
653;ukraine;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
654;information dissemination;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
655;grief;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
656;bahrain;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
657;parturition;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
658;buddhism;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
659;viral load;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
660;preexisting condition coverage;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
661;forced expiratory volume;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
662;retraction of publication as topic;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
663;analysis of variance;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
664;genetic association studies;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
665;replantation;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
666;dialysis;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
667;veterans;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
668;amisulpride;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
669;urinary catheters;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
670;liver diseases;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
671;newspapers as topic;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
672;deception;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
673;cesarean section;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
674;heart;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
675;premature birth;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
676;gestational age;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
677;critical pathways;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
678;clinical laboratory techniques;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
679;occupational health;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
680;internship and residency;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
681;minority groups;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
682;communicable disease control;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
683;fasting;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
684;morbidity;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
685;personal protective equipment;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
686;metaphor;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
687;organizational innovation;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
688;sexual and gender minorities;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
689;serbia;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
690;coronavirus;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
691;records;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
692;online social networking;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
693;intellectual disability;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
694;african continental ancestry group;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
695;american medical association;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
696;therapeutic misconception;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
697;spirituality;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
698;race relations;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
699;rewarming;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
700;portal vein;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
701;fellowships and scholarships;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
702;workflow;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
703;sepsis;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
704;medical staff;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
705;data analysis;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
706;reproductive medicine;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
707;volatilization;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
708;reperfusion;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
709;liver circulation;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
710;constriction;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
711;remission induction;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
712;microsurgery;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
713;respiratory distress syndrome;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
714;pulmonary embolism;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
715;anxiety;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
716;home care services;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
717;anemia;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
718;coronary angiography;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
719;research report;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
720;penile erection;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
721;coitus;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
722;hiv seropositivity;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
723;science;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
724;government;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
725;emotional intelligence;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
726;hermeneutics;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
727;marketing of health services;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
728;psychophysiology;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
729;animal rights;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
730;charities;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
731;motion;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
732;infusion pumps;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
733;apgar score;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
734;hepatic artery;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
735;hemoglobins;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
736;blood substitutes;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
737;equivalence trials as topic;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
738;retrospective moral judgment;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
739;consumer product safety;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
740;adult stem cells;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
741;transportation;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
742;financial support;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
743;endoscopy;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
744;body temperature;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
745;bias;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
746;blood urea nitrogen;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
747;patient acuity;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
748;health care coalitions;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
749;urban population;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
750;psychosocial support systems;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
751;patient outcome assessment;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
752;psychological theory;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
753;role;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
754;healthcare financing;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
755;upper extremity;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
756;regional health planning;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
757;lung;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
758;machine learning;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
759;nephrologists;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
760;neoplasm staging;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
761;reference standards;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
762;frail elderly;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
763;public sector;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
764;mythology;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
765;state government;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
766;eye;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
767;beauty;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
768;shock;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
769;resuscitation orders;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
770;hong kong;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
771;microcirculation;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
772;genetic markers;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
773;legal guardians;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
774;total quality management;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
775;cardiac output;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
776;medically uninsured;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
777;central nervous system neoplasms;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
778;humanism;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
779;psychiatric status rating scales;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
780;lung compliance;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
781;guyana;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
782;editorial policies;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
783;accidental falls;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
784;warfare;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
785;retirement;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
786;disasters;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
787;sex characteristics;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
788;pulmonary circulation;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
789;disaster planning;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
790;professional misconduct;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
791;arousal;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
792;health planning guidelines;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
793;refugees;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
794;united arab emirates;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
795;volunteers;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
796;blood flow velocity;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
797;argentina;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
798;social adjustment;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
799;pulsatile flow;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
800;consciousness;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
801;christianity;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
802;blindness;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
803;vascular resistance;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
804;law enforcement;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
805;unnecessary procedures;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
806;horses;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
807;health care sector;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
808;oman;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
809;educational measurement;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
810;diabetes mellitus;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
811;marijuana abuse;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
812;london;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
813;immunologic memory;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
814;sibling relations;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
815;nicaragua;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
816;tattooing;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
817;ipilimumab;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
818;cats;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
819;independent living;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
820;singapore;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
821;genetic counseling;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
822;consensus development conferences as topic;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
823;ownership;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
824;western world;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
825;arab world;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
826;fetal development;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
827;latvia;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
828;renal replacement therapy;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
829;croatia;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
830;health care reform;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
831;periodicals as topic;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
832;bibliometrics;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
833;caregivers;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
834;adolescent development;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
835;manometry;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
836;reimbursement mechanisms;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
837;methamphetamine;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
838;russia;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
839;hematologic tests;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
840;basiliximab;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
841;patient admission;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
842;specimen handling;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
843;neuroimaging;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
844;fraud;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
845;metabolic diseases;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
846;lawyers;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
847;faculty;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
848;karnofsky performance status;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
849;medical history taking;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
850;health facility administration;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
851;personality;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
852;psychological tests;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
853;time;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
854;social work;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
855;nephrology;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
856;cell transplantation;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
857;bangladesh;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
858;oregon;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
859;human genome project;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
860;red cross;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
861;body composition;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
862;qatar;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
863;colombia;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
864;blastocyst;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
865;phosphorylation;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
866;in vitro techniques;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
867;blood donors;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
868;social discrimination;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
869;embryo disposition;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
870;awards and prizes;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
871;psychiatry;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
872;placebo effect;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
873;accreditation;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
874;desflurane;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
875;international normalized ratio;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
876;liver function tests;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
877;south carolina;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
878;documentation;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
879;decompressive craniectomy;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
880;stem cell transplantation;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
881;immune system phenomena;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
882;digestive system surgical procedures;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
883;cardiac surgical procedures;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
884;bioreactors;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
885;preoperative period;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
886;luminescence;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
887;multidetector computed tomography;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
888;neurophysiology;0;0;0;0;0;1;0;0;0;0;0;1;0;0.3;0.09;1
889;tilapia;0;0;0;0;0;1;0;0;0;0;0;1;0;0.3;0.09;1
890;mammals;0;0;0;0;0;1;0;0;0;0;0;1;0;0.3;0.09;1
891;human rights abuses;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
892;life support care;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
893;nutritional status;0;0;0;0;0;1;0;0;0;0;0;1;0;0.3;0.09;1
894;energy intake;0;0;0;0;0;1;0;0;0;0;0;1;0;0.3;0.09;1
895;lenograstim;0;0;0;0;0;1;0;0;0;0;0;1;0;0.3;0.09;1
896;hematopoietic stem cell mobilization;0;0;0;0;0;1;0;0;0;0;0;1;0;0.3;0.09;1
897;bone marrow;0;0;0;0;0;1;0;0;0;0;0;1;0;0.3;0.09;1
898;ac133 antigen;0;0;0;0;0;1;0;0;0;0;0;1;0;0.3;0.09;1
899;unconsciousness;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
900;refusal to participate;0;0;0;0;0;1;0;0;0;0;0;1;0;0.3;0.09;1
901;neurosurgery;0;0;0;0;0;1;0;0;0;0;0;1;0;0.3;0.09;1
902;decapitation;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
903;intraoperative period;0;0;0;0;0;1;0;0;0;0;0;1;0;0.3;0.09;1
904;plasma;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
905;life support systems;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
906;sicily;0;0;0;0;0;1;0;0;0;0;0;1;0;0.3;0.09;1
907;foundations;0;0;0;0;0;1;0;0;0;0;0;1;0;0.3;0.09;1
908;sports;0;0;0;0;0;1;0;0;0;0;0;1;0;0.3;0.09;1
909;dietary supplements;0;0;0;0;0;1;0;0;0;0;0;1;0;0.3;0.09;1
910;clothing;0;0;0;0;0;1;0;0;0;0;0;1;0;0.3;0.09;1
911;touch perception;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
912;terminally ill;0;0;0;0;0;1;0;0;0;0;0;1;0;0.3;0.09;1
913;publications;0;0;0;0;0;1;0;0;0;0;0;1;0;0.3;0.09;1
914;drug administration schedule;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
915;total lung capacity;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
916;patient care;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
917;boston;0;0;0;0;0;1;0;0;0;0;0;1;0;0.3;0.09;1
918;massachusetts;0;0;0;0;0;1;0;0;0;0;0;1;0;0.3;0.09;1
919;biocompatible materials;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
920;virtues;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
921;patient comfort;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
922;human experimentation;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
923;euthanasia;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
924;self report;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
925;adoption;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
926;robotic surgical procedures;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
927;prone position;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
928;portugal;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
929;gene expression;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
930;observer variation;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
931;bioartificial organs;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
932;publication bias;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
933;emergency medical services;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
934;automobile driving;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
935;hematopoietic stem cell transplantation;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
936;directive counseling;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
937;cord blood stem cell transplantation;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
938;sensation;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
939;dental occlusion;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
940;exhalation;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
941;transplantation tolerance;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
942;air;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
943;immune system;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
944;intelligence tests;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
945;substance abuse detection;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
946;neurosecretion;0;0;0;0;0;1;0;0;0;0;0;1;0;0.3;0.09;1
947;transplantation conditioning;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
948;victoria;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
949;vital capacity;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
950;siphonaptera;0;0;0;0;0;1;0;0;0;0;0;1;0;0.3;0.09;1
951;homosexuality;0;0;0;0;0;1;0;0;0;0;0;1;0;0.3;0.09;1
952;africa;0;0;0;0;0;1;0;0;0;0;0;1;0;0.3;0.09;1
953;porosity;0;0;0;0;0;1;0;0;0;0;0;1;0;0.3;0.09;1
